event_type,event_id,episode_id
FL,1101005,1
FL,1101006,1
FL,1101007,1
FL,1101009,1
FL,1101009,2
FL,1101009,3
FL,1101010,1
FL,1101011,1
FL,1101012,1
FL,1101013,1
FL,1101014,1
FL,1101015,1
FL,1101016,1
FL,1101017,1
FL,1101018,1
FL,1101018,2
FL,1101018,3
FL,1101018,4
FL,1101018,5
FL,1101018,6
FL,1101019,1
FL,1101020,1
FL,1101021,1
FL,1101022,1
FL,1101023,1
FL,1101023,2
FL,1101024,1
FL,1101025,1
FL,1101025,2
FL,1101025,3
FL,1101025,4
FL,1101026,1
FL,1101027,1
FL,1101028,1
FL,1101029,1
FL,1101029,2
FL,1101029,3
FL,1101029,4
FL,1101029,5
FL,1101030,1
FL,1101031,1
FL,1101032,1
FL,1101033,1
FL,1101034,1
FL,1101035,1
FL,1101036,1
FL,1101037,1
FL,1101038,1
FL,1101039,1
FL,1101040,1
FL,1101040,2
FL,1101040,3
FL,1101040,4
FL,1101040,5
FL,1101040,6
FL,1101040,7
FL,1101040,8
FL,1101040,9
FL,1101040,10
FL,1101040,11
FL,1101040,12
FL,1101040,13
FL,1101041,1
FL,1101041,2
FL,1101041,3
FL,1101041,4
FL,1101042,1
FL,1101043,1
FL,1101044,1
FL,1101045,1
FL,1101045,2
FL,1101046,1
FL,1101047,1
FL,1101048,1
FL,1101049,1
FL,1101050,1
FL,1101050,2
FL,1101051,1
FL,1101052,1
FL,1101053,1
FL,1101054,1
FL,1101055,1
FL,1101055,2
FL,1101055,3
FL,1101055,4
FL,1101055,5
FL,1101055,6
FL,1101055,7
FL,1101055,8
FL,1101055,9
FL,1101056,1
FL,1101057,1
FL,1101057,2
FL,1101057,3
FL,1101057,4
FL,1101057,5
FL,1101057,6
FL,1101058,1
FL,1101058,2
FL,1101058,3
FL,1101059,1
FL,1101060,1
FL,1101061,1
FL,1101062,1
FL,1101062,2
FL,1101063,1
FL,1101064,1
FL,1101064,2
FL,1101064,3
FL,1101065,1
FL,1101066,1
FL,1101066,2
FL,1101066,3
FL,1101066,4
FL,1101067,1
FL,1101067,2
FL,1101068,1
FL,1101069,1
FL,1101069,2
FL,1101069,3
FL,1101069,4
FL,1101070,1
FL,1101071,1
FL,1101072,1
FL,1101073,1
FL,1101073,2
FL,1101074,1
FL,1101075,1
FL,1101076,1
FL,1101077,1
FL,1101077,2
FL,1101078,1
FL,1101078,2
FL,1101078,3
FL,1101079,1
FL,1101080,1
FL,1101081,1
FL,1101082,1
FL,1101083,1
FL,1101083,2
FL,1101084,1
FL,1101085,1
FL,1101085,2
FL,1101086,1
FL,1101086,2
FL,1101086,3
FL,1101086,4
FL,1101087,1
FL,1101088,1
